source,participant_ID,target_word,comment,latency,duree_mot,condition,n_phonemes,Offset,Notes,word_duration,transcript,phoneme_count
s101couteau_neut_bmpnaming,s101,couteau,ok,924.564,352.7282066,neut,7,1261,FALSE,336.436,kuto,4
s101couteau_ov2_bmpnaming,s101,couteau,ok,737.036,379.1828221,ov2,7,1104,FALSE,366.964,kuto,4
s101cuisine_neut_bmpnaming,s101,cuisine,ok,958.229,433.9181442,neut,7,1356,FALSE,397.771,kɥizin,6
s101cuisine_ov2_bmpnaming,s101,cuisine,ok,793.986,497.1263162,ov2,7,1270,FALSE,476.014,kɥizin,6
s101diamant_neut_bmpnaming,s101,diamant,ok,1142.664,425.4783993,neut,7,1559,FALSE,416.336,djamɑ̃,5
s101diamant_ov2_bmpnaming,s101,diamant,ok,613.567,310.8417321,ov2,7,915,FALSE,301.433,djamɑ̃,5
s101fourchette_neut_bmpnaming,s101,fourchette,ok,976.504,567.6719576,neut,10,1472,FALSE,495.496,fuʀʃɛt,6
s101fourchette_ov2_bmpnaming,s101,fourchette,ok,885.39,612.1266956,ov2,10,1416,FALSE,530.61,fuʀʃɛt,6
s101fusee_neut_bmpnaming,s101,fusee,ok,714.536,369.2623413,neut,5,1070,FALSE,355.464,fyz,3
s101fusee_ov2_bmpnaming,s101,fusee,ok,726.657,281.0802897,ov2,5,996,FALSE,269.343,fyz,3
s101gateau_neut_bmpnaming,s101,gateau,ok,667.494,397.9215081,neut,6,1053,FALSE,385.506,ɡato,4
s101gateau_ov2_bmpnaming,s101,gateau,ok,807.478,488.3081111,ov2,6,1286,FALSE,478.522,ɡato,4
s101gilet_neut_bmpnaming,s101,gilet,ok,803.805,378.0805465,neut,5,1169,FALSE,365.195,ʒilɛ,4
s101gilet_ov2_bmpnaming,s101,gilet,ok,713.415,335.0917963,ov2,5,1040,FALSE,326.585,ʒilɛ,4
s101girafe_neut_bmpnaming,s101,girafe,ok,765.582,493.8194893,neut,6,1241,FALSE,475.418,ʒiʀaf,5
s101girafe_ov2_bmpnaming,s101,girafe,ok,689.521,511.4558996,ov2,6,1177,FALSE,487.479,ʒiʀaf,5
s101lama_neut_bmpnaming,s101,lama,ok,822.533,404.1567018,neut,4,1209,FALSE,386.467,lama,4
s101lama_ov2_bmpnaming,s101,lama,ok,789.461,351.625931,ov2,4,1125,FALSE,335.539,lama,4
s101lapin_neut_bmpnaming,s101,lapin,ok,870.287,411.1488159,neut,5,1269,FALSE,398.713,lapɛ̃,4
s101lapin_ov2_bmpnaming,s101,lapin,ok,1031.216,424.3761236,ov2,5,1434,FALSE,402.784,lapɛ̃,4
s101lezard_neut_bmpnaming,s101,lezard,ok,1015.42,486.8273752,neut,6,1485,FALSE,469.58,ləzaʀ,5
s101lezard_ov2_bmpnaming,s101,lezard,ok,868.814,554.0661896,ov2,6,1415,FALSE,546.186,ləzaʀ,5
s101manteau_neut_bmpnaming,s101,manteau,ok,750.128,462.9557712,neut,7,1201,FALSE,450.872,mɑ̃to,4
s101manteau_ov2_bmpnaming,s101,manteau,ok,589.193,407.8419889,ov2,7,991,FALSE,401.807,mɑ̃to,4
s101marelle_neut_bmpnaming,s101,marelle,ok,839.044,541.9411575,neut,7,1350,FALSE,510.956,maʀɛl,5
s101marelle_ov2_bmpnaming,s101,marelle,ok,600.95,410.0465402,ov2,7,994,FALSE,393.05,maʀɛl,5
s101marin_neut_bmpnaming,s101,marin,ok,762.242,407.8419889,neut,5,1149,FALSE,386.758,maʀɛ̃,4
